ALL SCPP DATA FOR 1986 (fall) AND 1987 (January)

Beginning 861218 @ 10:25, the higher magnification on the sterio microscope was used to
image the ice particles (i.e. this data set).  Prior to that date, lower magnification 
was used and the data quality is inferior.  See Mitchell et al. (1990, JAM).

Note: Confidence rating refers to snow type. From most to least confident => 1, 2, 3. 
"0" means not applicable.

Temperature of origin refers to the midpoint temperature of the habit regime the ice particle
corresponds to.  Temperature uncertainty indicates the extent of the habit regime (i.e. the
midpoint minus temp. uncertainty to the mean plus temp. uncertainty).

For ice particle shape classification, R- indicates ice particle is rimed; -A means the ice
particle is an aggregate with possibly other less dominant habits present; -F means the ice
particle is an ice crystal fragment; -FA means the ice particle is an aggregate consisting
largely of crystal fragments.  For habit classifications, see Magono and Lee scheme in 
Pruppacher and Klett.

X and Y refer to coordinates on a grid superimposed on a projector screen and were used 
to locate the particle image on a slide.


Date   Time    X     Y      Image  Image  Actual Actual  Mass    Temp.   Temp. Snow  Confidence
                            ice    drop   ice    drop            of    uncert. type  rating
                            length length length length          origin
                            (cm)   (cm)   (mm)   (mm)    (mg)   (deg. C)  (C)

861218 1150  85.00  19.00  20.00  10.70   1.88   1.01  .268E+00  -15.00   5.00 R3B-FA   1 
861218 1150  91.00  11.00   2.60   2.30    .24    .22  .266E-02   -7.00   1.00 R-N1E    2 
861218 1150  16.00  33.00   8.70   4.90    .82    .46  .257E-01   -7.00   1.00 R-N1E    1 
861218 1150  17.00  47.00  11.00   6.50   1.04    .61  .600E-01  -15.00   5.00 R3B-FA   1 
861218 1150  30.00  48.00   4.30   2.70    .40    .25  .430E-02  -15.00   5.00 R3B-F    3 
861218 1150  58.00  26.00  17.50   8.90   1.65    .84  .154E+00  -15.00   5.00 R3B-FA   1 
861218 1150  73.00  34.00   2.50   2.30    .24    .22  .266E-02   -7.00   1.00 R-N2C    3 
861218 1150  93.00  39.00   3.50   2.20    .33    .21  .233E-02  999.00 999.00 I4       0 
861218 1150  55.00  48.00  23.10   9.10   2.18    .86  .165E+00  -15.00   1.50 R2B-F    1 
861218 1150  72.00  48.00  25.60   9.70   2.41    .91  .199E+00   -7.00   1.00 R-N1E    2 
