ALL SCPP DATA FOR 1986 (winter and fall) AND 1987 (January)

Beginning 861218 @ 10:25, the higher magnification on the sterio microscope was used to
image the ice particles.  Prior to that date, lower magnification was used and the data
quality is inferior.  See Mitchell et al. (1990, JAM).

Note: Confidence rating refers to snow type. From most to least confident => 1, 2, 3. "0" means not applicable.

Temperature of origin refers to the midpoint temperature of the habit regime the ice particle
corresponds to.  Temperature uncertainty indicates the extent of the habit regime (i.e. the
midpoint minus temp. uncertainty to the mean plus temp. uncertainty).

For ice particle shape classification, R- indicates ice particle is rimed; -A means the ice
particle is an aggregate with possibly other less dominant habits present; -F means the ice
particle is an ice crystal fragment; -FA means the ice particle is an aggregate consisting
largely of crystal fragments.  For habit classifications, see Magono and Lee scheme in 
Pruppacher and Klett.

X and Y refer to coordinates on a grid superimposed on a projector screen and were used 
to locate the particle image on a slide.


Date   Time    X     Y      Image  Image  Actual Actual  Mass    Temp.   Temp. Snow  Confidence
                            ice    drop   ice    drop            of    uncert. type  rating
                            length length length length          origin
                            (cm)   (cm)   (mm)   (mm)    (mg)   (deg. C)  (C)

860203 1944  17.50   5.00   1.60    .90    .64    .36  .121E-01  -15.00   2.50 R3B-F    3 
860203 1944  21.50  14.00   1.60    .90    .64    .36  .121E-01  999.00 999.00 I4       0 
860203 1944  31.00   6.00   2.80   1.30   1.12    .52  .365E-01  -15.00   2.50 R3B-F    1 
860203 1944  31.00  10.00   3.70   1.55   1.48    .62  .619E-01  -15.00   2.50 R3B-F    1 
860203 1944  32.00  17.00   1.10    .70    .44    .28  .570E-02  -25.00   5.00 C2B      1 
860203 1944  33.50  21.00   2.50   1.55   1.00    .62  .619E-01  -25.00   5.00 CP1A     1 
860203 1944  35.00  23.00   1.30    .70    .52    .28  .570E-02  999.00 999.00 I4       0 
860203 1944  37.00   5.00   1.00    .50    .40    .20  .208E-02  -15.00   3.50 P1A      2 
860203 1944  41.00   4.00   2.30   1.45    .92    .58  .507E-01  -15.00   2.50 R3B-F    1 
860203 1944  42.00  10.00   1.70   1.35    .68    .54  .409E-01  -25.00   5.00 C2B      1 
860203 1944  45.00  20.00   1.40   1.05    .56    .42  .193E-01  -25.00   5.00 C2B      3 
860203 1944  49.00  10.00   1.30   1.35    .52    .54  .409E-01  -30.00  10.00 C1E      1 
860203 1944  49.00  18.00   1.70   1.40    .68    .56  .456E-01  -15.00   2.50 R3B-F    3 
860203 1944  50.00   5.00   1.70   1.50    .68    .60  .561E-01  -15.00   5.00 P7A      2 
860203 1944  51.00  19.00   5.50   2.21   2.19    .88  .179E+00   -5.00   1.00 N2A      2 
860203 1944  53.00   8.00   1.20   1.15    .48    .46  .253E-01  -25.00   5.00 C2B      1 
860203 1944  54.00  22.00   1.60   1.35    .64    .54  .409E-01  -15.00   3.50 P1A      1 
860203 1944  57.00  21.00   1.40   1.25    .56    .50  .325E-01  -15.00   3.50 P1A      1 
860203 1944  62.00  16.00   1.90   1.20    .76    .48  .287E-01  -25.00   5.00 CP1A     1 
860203 1944  62.00   3.00   1.40   1.30    .56    .52  .365E-01  -25.00   5.00 C2B      1 
860203 1944  60.00  18.00   2.70   1.20   1.08    .48  .287E-01  -15.00   2.50 R3B-F    1 
860203 1944  68.00  10.00   1.30    .85    .52    .34  .102E-01  -25.00   5.00 C2B      3 
860203 1944  69.00   8.00   4.60   2.10   1.84    .84  .154E+00  -15.00   2.50 R3B      1 
860203 1944  74.00   5.00   1.50   1.20    .60    .48  .287E-01  -15.00   3.50 P1A      2 
860203 1944  74.50  22.50   1.50   1.20    .60    .48  .287E-01  -15.00   3.50 P1A      1 
860203 1944  76.00  15.00   1.00    .80    .40    .32  .851E-02  999.00 999.00 I4       0 
860203 1944  76.00   9.00   3.00   1.55   1.20    .62  .619E-01  -15.00   2.50 R3B-F    1 
860203 1944  78.50   2.00   2.50   1.50   1.00    .60  .561E-01  -15.00   2.50 R3B-F    3 
860203 1944  81.00   3.00   2.50    .80   1.00    .32  .851E-02  999.00 999.00 I4       0 
860203 1944  80.00  20.00   1.60   1.10    .64    .44  .221E-01  999.00 999.00 I4       0 
860203 1944  84.00  12.00   1.30    .70    .52    .28  .570E-02  -25.00   5.00 C2B      3 
860203 1944  86.00  10.00   1.50   1.15    .60    .46  .253E-01  -25.00   5.00 C2B      1 
860203 1944  86.50  22.00    .90    .60    .36    .24  .359E-02  -30.00  10.00 C1E      1 
860203 1944  88.00  22.50   3.10   1.65   1.24    .66  .747E-01  999.00 999.00 I4       0 
860203 1944  95.00  17.50    .90    .90    .36    .36  .121E-01  999.00 999.00 I4       0 
860203 1944   4.00  44.00   1.60   1.00    .64    .40  .166E-01  -25.00   5.00 C2B      1 
860203 1944  10.00  30.00   1.30    .80    .52    .32  .851E-02  -27.50   2.50 C1C      1 
860203 1944  11.00  39.00   3.00    .54   1.20    .22  .262E-02  -25.00   5.00 C2B      1 
860203 1944  12.00  37.00   3.50   1.40   1.40    .56  .456E-01  -15.00   1.50 P1E      2 
860203 1944  13.00  44.00   2.20   1.20    .88    .48  .287E-01  -25.00   5.00 C2B      3 
860203 1944  20.00  42.00   2.00   1.20    .80    .48  .287E-01  -25.00   5.00 C2B      1 
860203 1944  23.00  42.00   1.80   1.20    .72    .48  .287E-01  999.00 999.00 I4       0 
860203 1944  25.00  40.00   3.00   1.50   1.20    .60  .561E-01  -15.00   5.00 P7A      2 
860203 1944  27.00  39.00   1.30   1.10    .52    .44  .221E-01  -15.00   3.50 P1A      3 
860203 1944  27.00  33.00   2.60   1.30   1.04    .52  .365E-01  -25.00   5.00 C2B      1 
860203 1944  33.50  25.50   1.70   1.00    .68    .40  .166E-01  -15.00   2.50 R3B-F    3 
860203 1944  38.00  24.00   1.20   1.10    .48    .44  .221E-01  -15.00   2.50 P1A      2 
860203 1944  41.00  30.00   1.50   1.35    .60    .54  .409E-01  999.00 999.00 I4       0 
860203 1944  43.00  39.00   2.10   1.40    .84    .56  .456E-01  -15.00   5.00 P7A      1 
860203 1944  51.00  25.00   1.95   1.60    .78    .64  .681E-01  -15.00   2.50 R3B      2 
860203 1944  55.50  37.50   1.30   1.20    .52    .48  .287E-01  -30.00  10.00 C1E      1 
860203 1944  57.50  23.00   3.00   1.30   1.20    .52  .365E-01  -15.00   3.50 P2F      1 
860203 1944  58.00  26.00   4.10   1.70   1.64    .68  .817E-01  -15.00   5.00 P7A      2 
860203 1944  58.00  38.00   1.50   1.30    .60    .52  .365E-01  -15.00   3.50 P1A      1 
860203 1944  60.00  32.00   1.70    .85    .68    .34  .102E-01  -15.00   3.50 P1A      2 
860203 1944  62.00  37.00   3.90   1.80   1.56    .72  .970E-01  -25.00   5.00 CP1C     1 
860203 1944  68.00  40.00   1.60   1.40    .64    .56  .456E-01  -15.00   3.50 P1A      2 
860203 1944  70.00  25.00   3.40   1.60   1.36    .64  .681E-01  -15.00   3.50 P2F      1 
860203 1944  71.00  44.00   3.40   1.60   1.36    .64  .681E-01  -15.00   5.00 P7A      1 
860203 1944  71.00  40.00   1.70   1.10    .68    .44  .221E-01  -25.00   5.00 CP1A     1 
860203 1944  73.00  30.00    .50    .45    .20    .18  .152E-02  -30.00  10.00 C1E      1 
860203 1944  75.00  28.00   1.20    .90    .48    .36  .121E-01  -15.00   5.00 P7A      2 
860203 1944  77.00  39.00   1.20    .50    .48    .20  .208E-02  -25.00   5.00 C2B      2 
860203 1944  82.00  28.00   1.40   1.00    .56    .40  .166E-01  -15.00   3.50 P1A      2 
860203 1944  86.00  42.00   1.50   1.10    .60    .44  .221E-01  -25.00   5.00 C2B      1 
860203 1944  89.00  25.50   1.00    .60    .40    .24  .359E-02  -30.00   5.00 C1E      2 
